Name,Institute,Country,Year
"Wang, Fuqiang","Purdue University (US)","","2015"
"Kim, Taekwang","Osaka University","","2015"
"Horvat, Stephen","STAR","","2015"
"Nagashima, Kazuya","Hiroshima University","","2015"
"Sarkar, Sourav","Variable Energy Cyclotron Centre","","2015"
"Baban, Valerica","Constanta Maritime University","","2015"
"Beraudo, Andrea","INFN, sezione di Torino (IT)","","2015"
"Kitazawa, Masakiyo","Osaka University","","2015"
"Petersen, Hannah","","","2015"
"Merino, Carlos","University of Santiago de Compostela (Spain)","","2015"
"Sasaki, Chihiro","FIAS & Uni of Wroclaw","","2015"
"Lo, Pok Man","GSI","","2015"
"Kisel, Ivan","Johann-Wolfgang-Goethe Univ. (DE)","","2015"
"He, Liang","Purdue University","","2015"
"Bratkovskaya, Elena","FIAS","","2015"
"Karpenko, Iurii","Frankfurt Institute for Advanced Studies","","2015"
"Wolschin, Georg","Heidelberg University","","2015"
"Aggarwal, Madan","Physics Department,Panjab University,Chandigarh,India","","2015"
"Ristea, Oana","University of Bucharest, Faculty of Physics","","2015"
"Sinha, Bikash","Variable Energy Cyclotron Centre, Kolkata, India","","2015"
"Kashiwa, Kouji","","","2015"
"Tang, Zebo","University of Science and Technology of China","","2015"
"Ohnishi, Akira","Kyoto University","","2015"
"DAS, ARPAN","Institute of Physics, Bhubaneswar","","2015"
"Bagchi, Partha","Institute Of Physics","","2015"
"Jahan, Hushnud","Aligarh Muslim University","","2015"
"Fujii, Hirotsugu","University of Tokyo","","2015"
"Ni, Hong","Vanderbilt University (US)","","2015"
"Guilbaud, Maxime","Rice University (US)","","2015"
"Sahlmuller, Baldo","Johann-Wolfgang-Goethe Univ. (DE)","","2015"
"Wang, Quan","University of Kansas (US)","","2015"
"Chen, Zhenyu","Rice University (US)","","2015"
"Milosevic, Jovan","University of Belgrade (RS)","","2015"
"Padula, Sandra","UNESP - Universidade Estadual  Paulista (BR)","","2015"
"Horii, Hiroshi","University of Tokyo","","2015"
"Peresunko, Dmitri","National Research Centre Kurchatov Institute (RU)","","2015"
"Ke, Weiyao","Duke University","","2015"
"Sakaida, Miki","","","2015"
"Taya, Hidetoshi","University of Tokyo","","2015"
"Asakawa, Masayuki","Osaka University","","2015"
"Hattori, Koichi","RIKEN-BNL Research Center","","2015"
"Kher, Virendrasinh","Polytechnic, The M S University of Baroda, Vadodara, Gujarat, INDIA","","2015"
"Mohanty, Bedangadas","National Institute of Science  Education and Research (IN)","","2015"
"Poljak, Nikola","University of Zagreb  (HR)","","2015"
"Jeong, Kie Sang","Yonsei University","","2015"
"Qin, Guang-You","Central China Normal University","","2015"
"Barnafoldi, Gergely","Hungarian Academy of Sciences (HU)","","2015"
"Tripathy, Srikanta Kumar","Institute of Physics, Bhubaneswar","","2015"
"Azmi, Mohd Danish","Aligarh Muslim University","","2015"
"Paic, Guy","Universidad Nacional Autonoma (MX)","","2015"
"Schmidt, Christian","University of Bielefeld","","2015"
"scardina, francesco","INFN LNS","","2015"
"Alba, Paolo Giuseppe","","","2015"
"Berrehrah, Hamza","FIAS","","2015"
"Pereira Da Costa, Hugo Denis Antonio","CEA/IRFU,Centre d'etude de Saclay Gif-sur-Yvette (FR)","","2015"
"van der Schee, Wilke","MIT","","2015"
"Tambave, Ganesh Jagannath","University of Bergen (NO)","","2015"
"Nystrand, Joakim","University of Bergen (NO)","","2015"
"Linnyk, Olena","University of Giessen","","2015"
"Bartsch, Esther","Johann-Wolfgang-Goethe Univ. (DE)","","2015"
"Tarunaga, Kazuya","Hiroshima University (JP)","","2015"
"Kharlov, Yuri","Institute for High Energy Physics  (RU)","","2015"
"Grönqvist, Hanna","Institut de physique théorique, CEA Saclay","","2015"
"Frawley, Anthony","Florda State University","","2015"
"huang, shengli","PHENIX Collaboration","","2015"
"Petti, Richard","Brookhaven National Lab","","2015"
"Garg, Prakhar","Indian Institute of Technology  Indore (IN)","","2015"
"Riedler, Petra","CERN","","2015"
"Garabatos Cuadrado, Chilo","GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE)","","2015"
"Watanabe, Daisuke","University of Tsukuba (JP)","","2015"
"Zhang, Yonghong","Central China Normal University  CCNU (CN)","","2015"
"Tanaka, Naoto","University of Tsukuba (JP)","","2015"
"Zhang, Shenghui","USTC","","2015"
"Fukuda, Yusuke","University of Tsukuba (JP)","","2015"
"Lee, Tong-Gyu","Kyoto University","","2015"
"Hoshino, Tomoya","Hiroshima University (JP)","","2015"
"Gelfand, Daniil","Vienna University of Technology","","2015"
"Suenaga, Daiki","Nagoya University","","2015"
"Mukherjee, Swagato","Brookhaven National Laboratory","","2015"
"Ejiri, Shinji","Niigata University","","2015"
"Morales, Pablo","The University of Tokyo","","2015"
"Ahmad, Shabir","University of Kashmir, Srinagar J&K India","","2015"
"Weyrich, Johannes","Technical University Darmstadt","","2015"
"Song, Liao","University of Houston","","2015"
"Xu, Ji","Central China Normal University / Lawrence Berkeley National Laboratory","","2015"
"Kudo, Sakiko","University of Tsukuba (JP)","","2015"
"Sahoo, Nihar","Texas A & M University","","2015"
"Sharma, Deepali","Stony Brook University","","2015"
"Contin, Giacomo","Lawrence Berkeley National Lab. (US)","","2015"
"Hirono, Yuji","Stony Brook University","","2015"
"Kohler, Markus","Weizmann Institute of Science (IL)","","2015"
"Radhakrishnan, Sooraj Krishnan","State University of New York (US)","","2015"
"Jia, Jiangyong","State University of New York (US)","","2015"
"Suzuki, Kei","Tokyo Institute of Technology","","2015"
"Kalweit, Alexander Philipp","CERN","","2015"
"Zhang, Xiaoming","Lawrence Berkeley National Lab. (US)","","2015"
"Bzdak, Adam","AGH University of Science and Technology","","2015"
"Morad, Razieh","University of Cape Town (ZA)","","2015"
"Young, Clint","M","","2015"
"Christensen, Christian Holm","University of Copenhagen (DK)","","2015"
"Lea, Ramona","Universita e INFN, Trieste (IT)","","2015"
"Bianchi, Livio","University of Houston (US)","","2015"
"Papp, Gábor","Eötvös University","","2015"
"Auvinen, Jussi","Duke University","","2015"
"Betz, Barbara","Frankfurt University","","2015"
"Springer, Paul","Technische Universität München","","2015"
"Nisihiyama, Kazuya","Kyoto university","","2015"
"Tsukiji, Hidekazu","Yukawa Institute for Theoretical Physics, Kyoto University","","2015"
"Tachibana, Yasuki","Nishina Center, RIKEN","","2015"
"Srisawad, Pornrad","Naresuan University","","2015"
"Trzaska, Wladyslaw Henryk","University of Jyvaskyla (FI)","","2015"
"Almasi, Gabor","GSI","","2015"
"Pablos, Daniel","Universitat de Barcelona","","2015"
"Zhang, Song","Shanghai Institute of Applied Physics, CAS","","2015"
"ZHOU, Daimei","Institue of Particle Physics, Central China Normal University","","2015"
"Shi, Shusu","","","2015"
"Wiedemann, Urs","CERN","","2015"
"Tannenbaum, Michael","Brookhaven National Laboratory (US)","","2015"
"He, Xiaochun","Georgia State University","","2015"
"da Silva, Cesar Luiz","Los Alamos National Lab","","2015"
"Borsanyi, Szabolcs","University of Wuppertal","","2015"
"Xu, Qiao","Vanderbilt University (US)","","2015"
"Durham, J. Matthew","Los Alamos National Laboratory","","2015"
"Esha, Roli","University of California - Los Angeles","","2015"
"Oh, Kunsu","Pusan National University (KR)","","2015"
"McCumber, Michael","Los Alamos National Laboratory","","2015"
"Yokota, Takeru","Kyoto University, Japan","","2015"
"Hoehne, Claudia","University Giessen","","2015"
"Gulbrandsen, Kristjan","University of Copenhagen (DK)","","2015"
"Palhares, Leticia","UERJ","","2015"
"Djordjevic, Magdalena","Institute of Physics Belgrade","","2015"
"Djordjevic, Marko","University of Belgrade","","2015"
"Niida, Takafumi","Wayne State University","","2015"
"Yamamoto, Hiroki","University of Tsukuba (JP)","","2015"
